CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
407651.0,21.0,Male,59.0,10.0,0.0,7.0,Basic,Annual,827.56,14.0,0.0
129564.0,53.0,Female,28.0,4.0,4.0,19.0,Basic,Quarterly,364.0,9.0,1.0
126569.0,53.0,Female,52.0,6.0,7.0,17.0,Premium,Monthly,311.0,30.0,1.0
157984.0,34.0,Male,56.0,26.0,0.0,17.0,Premium,Quarterly,189.0,20.0,1.0
339741.0,26.0,Male,52.0,8.0,0.0,18.0,Premium,Quarterly,962.35,28.0,0.0
393451.0,18.0,Male,28.0,16.0,1.0,19.0,Basic,Quarterly,769.73,25.0,0.0
390498.0,45.0,Male,13.0,16.0,2.0,13.0,Premium,Quarterly,834.65,1.0,0.0
9570.0,61.0,Male,33.0,13.0,9.0,8.0,Standard,Monthly,974.0,18.0,1.0
304243.0,41.0,Male,51.0,30.0,3.0,8.0,Basic,Quarterly,675.41,11.0,0.0
202469.0,63.0,Male,17.0,28.0,0.0,8.0,Standard,Annual,368.0,16.0,1.0
164234.0,32.0,Female,8.0,18.0,5.0,10.0,Standard,Annual,334.0,6.0,1.0
107942.0,35.0,Female,37.0,21.0,1.0,24.0,Basic,Quarterly,526.0,12.0,1.0
386109.0,39.0,Female,21.0,18.0,2.0,15.0,Basic,Quarterly,752.28,7.0,0.0
391955.0,44.0,Female,16.0,27.0,0.0,15.0,Standard,Annual,661.11,4.0,0.0
323454.0,27.0,Male,4.0,11.0,0.0,13.0,Premium,Quarterly,540.34,10.0,0.0
208879.0,51.0,Female,22.0,22.0,1.0,23.0,Standard,Annual,946.54,23.0,1.0
389897.0,43.0,Female,15.0,11.0,1.0,15.0,Premium,Annual,956.11,13.0,0.0
338068.0,47.0,Male,47.0,1.0,4.0,13.0,Premium,Annual,730.73,18.0,0.0
59009.0,25.0,Female,30.0,22.0,7.0,10.0,Premium,Annual,607.0,23.0,1.0
84379.0,26.0,Male,11.0,5.0,7.0,19.0,Standard,Annual,333.0,28.0,1.0
194693.0,56.0,Male,19.0,13.0,0.0,24.0,Basic,Annual,849.0,17.0,1.0
78099.0,24.0,Male,14.0,16.0,9.0,23.0,Premium,Quarterly,273.0,5.0,1.0
363697.0,23.0,Male,20.0,17.0,0.0,10.0,Standard,Annual,866.78,26.0,0.0
304501.0,24.0,Male,16.0,26.0,0.0,7.0,Basic,Quarterly,584.8,21.0,0.0
63370.0,59.0,Male,18.0,23.0,2.0,25.0,Premium,Monthly,547.0,19.0,1.0
370411.0,31.0,Female,19.0,28.0,3.0,1.0,Standard,Annual,613.19,8.0,0.0
292220.0,46.0,Male,33.0,25.0,2.0,20.0,Premium,Quarterly,710.42,13.0,0.0
408396.0,35.0,Male,29.0,25.0,0.0,16.0,Standard,Quarterly,793.59,22.0,0.0
394436.0,42.0,Male,2.0,25.0,1.0,13.0,Standard,Annual,960.86,12.0,0.0
71236.0,24.0,Female,39.0,3.0,8.0,6.0,Basic,Monthly,497.0,9.0,1.0
224031.0,53.0,Female,28.0,16.0,5.0,23.0,Basic,Monthly,191.81,21.0,1.0
426319.0,42.0,Male,6.0,7.0,1.0,0.0,Basic,Annual,854.97,20.0,0.0
419726.0,44.0,Male,7.0,12.0,2.0,6.0,Premium,Quarterly,833.48,6.0,0.0
279679.0,45.0,Male,6.0,3.0,2.0,16.0,Premium,Quarterly,667.93,20.0,0.0
417591.0,46.0,Male,51.0,20.0,0.0,1.0,Basic,Annual,847.49,3.0,0.0
292565.0,43.0,Female,3.0,19.0,3.0,8.0,Premium,Quarterly,748.9,10.0,0.0
273033.0,21.0,Male,48.0,11.0,0.0,13.0,Standard,Annual,580.29,10.0,0.0
225450.0,61.0,Female,30.0,15.0,4.0,6.0,Premium,Monthly,685.12,1.0,1.0
379221.0,45.0,Male,1.0,3.0,4.0,6.0,Premium,Quarterly,679.01,28.0,0.0
350314.0,36.0,Male,35.0,6.0,1.0,1.0,Basic,Quarterly,632.87,30.0,0.0
296201.0,41.0,Female,34.0,15.0,2.0,6.0,Premium,Quarterly,774.08,11.0,0.0
378026.0,29.0,Female,6.0,23.0,2.0,10.0,Standard,Quarterly,805.37,4.0,0.0
237353.0,48.0,Male,55.0,22.0,10.0,21.0,Standard,Annual,580.41,15.0,1.0
221523.0,53.0,Female,43.0,20.0,8.0,6.0,Standard,Monthly,516.64,16.0,1.0
313494.0,30.0,Male,48.0,5.0,3.0,3.0,Premium,Quarterly,974.07,15.0,0.0
270563.0,21.0,Male,56.0,25.0,2.0,1.0,Standard,Annual,524.73,23.0,0.0
365771.0,29.0,Male,1.0,13.0,1.0,2.0,Premium,Quarterly,696.55,3.0,0.0
7351.0,52.0,Female,54.0,6.0,4.0,13.0,Basic,Annual,410.0,29.0,1.0
262167.0,46.0,Female,26.0,21.0,3.0,10.0,Premium,Annual,947.3,3.0,0.0
253476.0,30.0,Male,37.0,1.0,0.0,28.0,Standard,Quarterly,943.56,5.0,1.0
298865.0,42.0,Male,3.0,21.0,1.0,8.0,Premium,Quarterly,803.68,14.0,0.0
439716.0,41.0,Female,24.0,20.0,1.0,15.0,Basic,Quarterly,685.66,15.0,0.0
366419.0,43.0,Male,33.0,12.0,3.0,1.0,Standard,Annual,926.42,25.0,0.0
308663.0,38.0,Female,56.0,18.0,3.0,0.0,Standard,Quarterly,757.17,7.0,0.0
148607.0,55.0,Male,29.0,24.0,2.0,18.0,Basic,Annual,819.0,26.0,1.0
389916.0,42.0,Male,8.0,15.0,1.0,6.0,Basic,Annual,798.51,8.0,0.0
86477.0,26.0,Female,12.0,2.0,0.0,26.0,Basic,Annual,173.0,2.0,1.0
419763.0,40.0,Female,15.0,22.0,0.0,14.0,Premium,Annual,670.95,15.0,0.0
418188.0,26.0,Male,12.0,20.0,1.0,5.0,Premium,Annual,635.99,25.0,0.0
402921.0,44.0,Female,32.0,12.0,3.0,0.0,Basic,Annual,679.1,5.0,0.0
38065.0,25.0,Male,41.0,7.0,0.0,18.0,Basic,Annual,317.0,16.0,1.0
291935.0,37.0,Male,16.0,16.0,2.0,8.0,Basic,Annual,868.37,1.0,0.0
426871.0,31.0,Male,17.0,23.0,1.0,9.0,Standard,Quarterly,517.86,5.0,0.0
331382.0,41.0,Male,12.0,30.0,4.0,16.0,Premium,Quarterly,934.51,17.0,0.0
149750.0,23.0,Female,24.0,27.0,3.0,11.0,Basic,Quarterly,724.0,25.0,1.0
193476.0,41.0,Female,2.0,15.0,1.0,11.0,Standard,Quarterly,552.0,14.0,0.0
221151.0,39.0,Female,38.0,21.0,2.0,20.0,Standard,Monthly,215.11,16.0,1.0
